16,ADC123_IN11/ETH_MDC/PC1,bidir,right,B,,
17,ADC123_IN12/SPI2_MISO/I2S2ext_SD/OTG_HS_ULPI_DIR/ETH_MII_TXD2/FMC_SDNE0/PC2,bidir,right,B,,
18,ADC123_IN13/SPI2_MOSI/I2S2_SD/OTG_HS_ULPI_NXT/ETH_MII_TX_CLK/FMC_SDCKE0/PC3,bidir,right,B,,
33,ADC12_IN14/ETH_MII_RXD0/ETH_RMII_RXD0/PC4,bidir,right,B,,
34,ADC12_IN15/ETH_MII_RXD1/ETH_RMII_RXD1/PC5,bidir,right,B,,
63,TIM3_CH1/TIM8_CH1/I2S2_MCK/USART6_TX/SDIO_D6/DCMI_D0/LCD_HSYNC/PC6,bidir,right,B,,
64,TIM3_CH2/TIM8_CH2/I2S3_MCK/USART6_RX/SDIO_D7/DCMI_D1/LCD_G6/PC7,bidir,right,B,,
65,TIM3_CH3/TIM8_CH3/USART6_CK/SDIO_D0/DCMI_D2/PC8,bidir,right,B,,
66,MCO2/TIM3_CH4/TIM8_CH4/I2C3_SDA/I2S_CKIN/SDIO_D1/DCMI_D3/PC9,bidir,right,B,,
78,SPI3_SCK/I2S3_CK/USART3_TX/UART4_TX/SDIO_D2/DCMI_D8/LCD_R2/PC10,bidir,right,B,,
79,I2S3ext_SD/SPI3_MISO/USART3_RX/UART4_RX/SDIO_D3/DCMI_D4/PC11,bidir,right,B,,
80,SPI3_MOSI/I2S3_SD/USART3_CK/UART5_TX/SDIO_CK/DCMI_D9/PC12,bidir,right,B,,
7,TAMP_1/PC13,bidir,right,B,,
*,,,right,B,,
8,OSC32_IN/PC14,bidir,right,B,,
9,OSC32_OUT/PC15,bidir,right,B,,
*,,,right,B,,
81,CAN1_RX/FMC_D2/PD0,bidir,right,B,,
82,CAN1_TX/FMC_D3/PD1,bidir,right,B,,
83,TIM3_ETR/UART5_RX/SDIO_CMD/DCMI_D11/PD2,bidir,right,B,,
84,SPI2_SCK/I2S2_CK/USART2_CTS/FMC_CLK/DCMI_D5/LCD_G7/PD3,bidir,right,B,,
85,USART2_RTS/FMC_NOE/PD4,bidir,right,B,,
86,USART2_TX/FMC_NWE/PD5,bidir,right,B,,
87,SPI3_MOSI/I2S3_SD/SAI1_SD_A/USART2_RX/FMC_NWAIT/DCMI_D10/LCD_B2/PD6,bidir,right,B,,
88,USART2_CK/FMC_NE1/FMC_NCE2/PD7,bidir,right,B,,
55,USART3_TX/FMC_D13/PD8,bidir,right,B,,
56,USART3_RX/FMC_D14/PD9,bidir,right,B,,
57,USART3_CK/FMC_D15/LCD_B3/PD10,bidir,right,B,,
58,USART3_CTS/FMC_A16/PD11,bidir,right,B,,
59,TIM4_CH1/USART3_RTS/FMC_A17/PD12,bidir,right,B,,
60,TIM4_CH2/FMC_A18/PD13,bidir,right,B,,
61,TIM4_CH3/FMC_D0/PD14,bidir,right,B,,
62,TIM4_CH4/FMC_D1/PD15,bidir,right,B,,
*,,,right,B,,
*,,,left,C,,
14,NRST,in,left,C,,
*,,,left,C,,
94,BOOT0,in,left,C,,
*,,,left,C,,
12,PH0/OSC_IN,in,left,C,,
13,PH1/OSC_OUT,in,left,C,,
*,,,left,C,,
97,TIM4_ETR/UART8_RX/FMC_NBL0/DCMI_D2/PE0,bidir,right,C,,
98,UART8_Tx/FMC_NBL1/DCMI_D3/PE1,bidir,right,C,,
1,TRACECLK/SPI4_SCK/SAI1_MCLK_A/ETH_MII_TXD3/FMC_A23/PE2,bidir,right,C,,
2,TRACED0/SAI1_SD_B/FMC_A19/PE3,bidir,right,C,,
3,TRACED1/SPI4_NSS/SAI1_FS_A/FMC_A20/DCMI_D4/LCD_B0/PE4,bidir,right,C,,
4,TRACED2/TIM9_CH1/SPI4_MISO/SAI1_SCK_A/FMC_A21/DCMI_D6/LCD_G0/PE5,bidir,right,C,,
5,TRACED3/TIM9_CH2/SPI4_MOSI/SAI1_SD_A/FMC_A22/DCMI_D7/LCD_G1/PE6,bidir,right,C,,
38,TIM1_ETR/UART7_Rx/FMC_D4/PE7,bidir,right,C,,
39,TIM1_CH1N/UART7_Tx/FMC_D5/PE8,bidir,right,C,,
40,TIM1_CH1/FMC_D6/PE9,bidir,right,C,,
41,TIM1_CH2N/FMC_D7/PE10,bidir,right,C,,
42,TIM1_CH2/SPI4_NSS/FMC_D8/LCD_G3/PE11,bidir,right,C,,
43,TIM1_CH3N/SPI4_SCK/FMC_D9/LCD_B4/PE12,bidir,right,C,,
44,TIM1_CH3/SPI4_MISO/FMC_D10/LCD_DE/PE13,bidir,right,C,,
45,TIM1_CH4/SPI4_MOSI/FMC_D11/LCD_CLK/PE14,bidir,right,C,,
46,TIM1_BKIN/FMC_D12/LCD_R7/PE15,bidir,right,C,,
*,,,left,D,,
6,VBAT,pwr_in,left,D,,
11,VDD,pwr_in,left,D,,
19,VDD,pwr_in,left,D,,
28,VDD,pwr_in,left,D,,
50,VDD,pwr_in,left,D,,
75,VDD,pwr_in,left,D,,
100,VDD,pwr_in,left,D,,
*,,,left,D,,
22,VDDA,pwr_in,left,D,,
*,,,left,D,,
21,VREF+,pwr_in,left,D,,
*,,,right,D,,
10,VSS,pwr_in,right,D,,
27,VSS,pwr_in,right,D,,
74,VSS,pwr_in,right,D,,
99,VSS,pwr_in,right,D,,
*,,,right,D,,
20,VSSA,pwr_in,right,D,,
*,,,right,D,,
*,,,right,D,,
49,VCAP_1,pwr_out,right,D,,
73,VCAP_2,pwr_out,right,D,,
*,,,right,D,,
,,,,,,
STM32F429VITx,U,Package_QFP:LQFP-100_14x14mm_P0.5mm,STM32F429VITx,https://www.st.com/resource/en/datasheet/stm32f429ng.pdf,"ARM Cortex-M4 MCU, 2048KB flash, 192KB RAM, 180MHz, 1.8-3.6V, 82 GPIO, LQFP-100 14x14mm. Ref. Man : RM0090",
Pin,Name,Type,Side,Unit,Style,Hidden
23,PA0/WKUP/TIM2_CH1/TIM2_ETR/TIM5_CH1/TIM8_ETR/USART2_CTS/UART4_TX/ETH_MII_CRS/ADC123_IN0,bidir,left,A,,
24,PA1/TIM2_CH2/TIM5_CH2/USART2_RTS/UART4_RX/ETH_MII_RX_CLK/ETH_RMII_REF_CLK/ADC123_IN1,bidir,left,A,,
25,PA2/TIM2_CH3/TIM5_CH3/TIM9_CH1/USART2_TX/ETH_MDIO/ADC123_IN2,bidir,left,A,,
26,PA3/TIM2_CH4/TIM5_CH4/TIM9_CH2/USART2_RX/OTG_HS_ULPI_D0/ETH_MII_COL/LCD_B5/ADC123_IN3,bidir,left,A,,
29,PA4(3V)/SPI1_NSS/SPI3_NSS/I2S3_WS/USART2_CK/OTG_HS_SOF/DCMI_HSYNC/LCD_VSYNC/ADC12_IN4/DAC_OUT1,bidir,left,A,,
30,PA5(3V)/TIM2_CH1/TIM2_ETR/TIM8_CH1N/SPI1_SCK/OTG_HS_ULPI_CK/ADC12_IN5/DAC_OUT2,bidir,left,A,,
31,PA6/TIM1_BKIN/TIM3_CH1/TIM8_BKIN/SPI1_MISO/TIM13_CH1/DCMI_PIXCLK/LCD_G2/ADC12_IN6,bidir,left,A,,
32,PA7/TIM1_CH1N/TIM3_CH2/TIM8_CH1N/SPI1_MOSI/TIM14_CH1/ETH_MII_RX_DV/ETH_RMII_CRS_DV/ADC12_IN7,bidir,left,A,,
67,PA8/MCO1/TIM1_CH1/I2C3_SCL/USART1_CK/OTG_FS_SOF/LCD_R6,bidir,left,A,,
68,PA9/TIM1_CH2/I2C3_SMBA/USART1_TX/DCMI_D0/OTG_FS_VBUS,bidir,left,A,,
69,PA10/TIM1_CH3/USART1_RX/OTG_FS_ID/DCMI_D1,bidir,left,A,,
70,PA11/TIM1_CH4/USART1_CTS/CAN1_RX/LCD_R4/OTG_FS_DM,bidir,left,A,,
71,PA12/TIM1_ETR/USART1_RTS/CAN1_TX/LCD_R5/OTG_FS_DP,bidir,left,A,,
72,PA13/JTMS-SWDIO,bidir,left,A,,
76,PA14/JTCK-SWCLK,bidir,left,A,,
77,PA15/JTDI/TIM2_CH1/TIM2_ETR/SPI1_NSS/SPI3_NSS/I2S3_WS,bidir,left,A,,
*,,,left,A,,
*,,,left,A,,
35,PB0/TIM1_CH2N/TIM3_CH3/TIM8_CH2N/LCD_R3/OTG_HS_ULPI_D1/ETH_MII_RXD2/ADC12_IN8,bidir,left,A,,
36,PB1/TIM1_CH3N/TIM3_CH4/TIM8_CH3N/LCD_R6/OTG_HS_ULPI_D2/ETH_MII_RXD3/ADC12_IN9,bidir,left,A,,
37,PB2/BOOT1,bidir,left,A,,
89,PB3/JTDO/TRACESWO/TIM2_CH2/SPI1_SCK/SPI3_SCK/I2S3_CK,bidir,left,A,,
90,PB4/NJTRST/TIM3_CH1/SPI1_MISO/SPI3_MISO/I2S3ext_SD,bidir,left,A,,
91,PB5/TIM3_CH2/I2C1_SMBA/SPI1_MOSI/SPI3_MOSI/I2S3_SD/CAN2_RX/OTG_HS_ULPI_D7/ETH_PPS_OUT/FMC_SDCKE1/DCMI_D10,bidir,left,A,,
92,PB6/TIM4_CH1/I2C1_SCL/USART1_TX/CAN2_TX/FMC_SDNE1/DCMI_D5,bidir,left,A,,
93,PB7/TIM4_CH2/I2C1_SDA/USART1_RX/FMC_NL/DCMI_VSYNC,bidir,left,A,,
95,PB8/TIM4_CH3/TIM10_CH1/I2C1_SCL/CAN1_RX/ETH_MII_TXD3/SDIO_D4/DCMI_D6/LCD_B6,bidir,left,A,,
96,PB9/TIM4_CH4/TIM11_CH1/I2C1_SDA/SPI2_NSS/I2S2_WS/CAN1_TX/SDIO_D5/DCMI_D7/LCD_B7,bidir,left,A,,
47,PB10/TIM2_CH3/I2C2_SCL/SPI2_SCK/I2S2_CK/USART3_TX/OTG_HS_ULPI_D3/ETH_MII_RX_ER/LCD_G4,bidir,left,A,,
48,PB11/TIM2_CH4/I2C2_SDA/USART3_RX/OTG_HS_ULPI_D4/ETH_MII_TX_EN/ETH_RMII_TX_EN/LCD_G5,bidir,left,A,,
51,PB12/TIM1_BKIN/I2C2_SMBA/SPI2_NSS/I2S2_WS/USART3_CK/CAN2_RX/OTG_HS_ULPI_D5/ETH_MII_TXD0/ETH_RMII_TXD0/OTG_HS_ID,bidir,left,A,,
52,PB13/TIM1_CH1N/SPI2_SCK/I2S2_CK/USART3_CTS/CAN2_TX/OTG_HS_ULPI_D6/ETH_MII_TXD1/ETH_RMII_TXD1/OTG_HS_VBUS,bidir,left,A,,
53,PB14/TIM1_CH2N/TIM8_CH2N/SPI2_MISO/I2S2ext_SD/USART3_RTS/TIM12_CH1/OTG_HS_DM,bidir,left,A,,
54,PB15/RTC_REFIN/TIM1_CH3N/TIM8_CH3N/SPI2_MOSI/I2S2_SD/TIM12_CH2/OTG_HS_DP,bidir,left,A,,
*,,,left,A,,
15,ADC123_IN10/OTG_HS_ULPI_STP/FMC_SDNWE/PC0,bidir,right,B,,
16,ADC123_IN11/ETH_MDC/PC1,bidir,right,B,,
17,ADC123_IN12/SPI2_MISO/I2S2ext_SD/OTG_HS_ULPI_DIR/ETH_MII_TXD2/FMC_SDNE0/PC2,bidir,right,B,,
18,ADC123_IN13/SPI2_MOSI/I2S2_SD/OTG_HS_ULPI_NXT/ETH_MII_TX_CLK/FMC_SDCKE0/PC3,bidir,right,B,,
33,ADC12_IN14/ETH_MII_RXD0/ETH_RMII_RXD0/PC4,bidir,right,B,,
34,ADC12_IN15/ETH_MII_RXD1/ETH_RMII_RXD1/PC5,bidir,right,B,,
63,TIM3_CH1/TIM8_CH1/I2S2_MCK/USART6_TX/SDIO_D6/DCMI_D0/LCD_HSYNC/PC6,bidir,right,B,,
64,TIM3_CH2/TIM8_CH2/I2S3_MCK/USART6_RX/SDIO_D7/DCMI_D1/LCD_G6/PC7,bidir,right,B,,
65,TIM3_CH3/TIM8_CH3/USART6_CK/SDIO_D0/DCMI_D2/PC8,bidir,right,B,,
66,MCO2/TIM3_CH4/TIM8_CH4/I2C3_SDA/I2S_CKIN/SDIO_D1/DCMI_D3/PC9,bidir,right,B,,
78,SPI3_SCK/I2S3_CK/USART3_TX/UART4_TX/SDIO_D2/DCMI_D8/LCD_R2/PC10,bidir,right,B,,
79,I2S3ext_SD/SPI3_MISO/USART3_RX/UART4_RX/SDIO_D3/DCMI_D4/PC11,bidir,right,B,,
80,SPI3_MOSI/I2S3_SD/USART3_CK/UART5_TX/SDIO_CK/DCMI_D9/PC12,bidir,right,B,,
7,TAMP_1/PC13,bidir,right,B,,
*,,,right,B,,
8,OSC32_IN/PC14,bidir,right,B,,
9,OSC32_OUT/PC15,bidir,right,B,,
*,,,right,B,,
81,CAN1_RX/FMC_D2/PD0,bidir,right,B,,
82,CAN1_TX/FMC_D3/PD1,bidir,right,B,,
83,TIM3_ETR/UART5_RX/SDIO_CMD/DCMI_D11/PD2,bidir,right,B,,
84,SPI2_SCK/I2S2_CK/USART2_CTS/FMC_CLK/DCMI_D5/LCD_G7/PD3,bidir,right,B,,
85,USART2_RTS/FMC_NOE/PD4,bidir,right,B,,
86,USART2_TX/FMC_NWE/PD5,bidir,right,B,,
87,SPI3_MOSI/I2S3_SD/SAI1_SD_A/USART2_RX/FMC_NWAIT/DCMI_D10/LCD_B2/PD6,bidir,right,B,,
88,USART2_CK/FMC_NE1/FMC_NCE2/PD7,bidir,right,B,,
55,USART3_TX/FMC_D13/PD8,bidir,right,B,,
56,USART3_RX/FMC_D14/PD9,bidir,right,B,,
57,USART3_CK/FMC_D15/LCD_B3/PD10,bidir,right,B,,
58,USART3_CTS/FMC_A16/PD11,bidir,right,B,,
59,TIM4_CH1/USART3_RTS/FMC_A17/PD12,bidir,right,B,,
60,TIM4_CH2/FMC_A18/PD13,bidir,right,B,,
61,TIM4_CH3/FMC_D0/PD14,bidir,right,B,,
62,TIM4_CH4/FMC_D1/PD15,bidir,right,B,,
*,,,right,B,,
*,,,left,C,,
14,NRST,in,left,C,,
*,,,left,C,,
94,BOOT0,in,left,C,,
*,,,left,C,,
12,PH0/OSC_IN,in,left,C,,
13,PH1/OSC_OUT,in,left,C,,
*,,,left,C,,
97,TIM4_ETR/UART8_RX/FMC_NBL0/DCMI_D2/PE0,bidir,right,C,,
98,UART8_Tx/FMC_NBL1/DCMI_D3/PE1,bidir,right,C,,
1,TRACECLK/SPI4_SCK/SAI1_MCLK_A/ETH_MII_TXD3/FMC_A23/PE2,bidir,right,C,,
2,TRACED0/SAI1_SD_B/FMC_A19/PE3,bidir,right,C,,
3,TRACED1/SPI4_NSS/SAI1_FS_A/FMC_A20/DCMI_D4/LCD_B0/PE4,bidir,right,C,,
4,TRACED2/TIM9_CH1/SPI4_MISO/SAI1_SCK_A/FMC_A21/DCMI_D6/LCD_G0/PE5,bidir,right,C,,
5,TRACED3/TIM9_CH2/SPI4_MOSI/SAI1_SD_A/FMC_A22/DCMI_D7/LCD_G1/PE6,bidir,right,C,,
38,TIM1_ETR/UART7_Rx/FMC_D4/PE7,bidir,right,C,,
39,TIM1_CH1N/UART7_Tx/FMC_D5/PE8,bidir,right,C,,
40,TIM1_CH1/FMC_D6/PE9,bidir,right,C,,
41,TIM1_CH2N/FMC_D7/PE10,bidir,right,C,,
42,TIM1_CH2/SPI4_NSS/FMC_D8/LCD_G3/PE11,bidir,right,C,,
43,TIM1_CH3N/SPI4_SCK/FMC_D9/LCD_B4/PE12,bidir,right,C,,
44,TIM1_CH3/SPI4_MISO/FMC_D10/LCD_DE/PE13,bidir,right,C,,
45,TIM1_CH4/SPI4_MOSI/FMC_D11/LCD_CLK/PE14,bidir,right,C,,
46,TIM1_BKIN/FMC_D12/LCD_R7/PE15,bidir,right,C,,
*,,,left,D,,
6,VBAT,pwr_in,left,D,,
11,VDD,pwr_in,left,D,,
19,VDD,pwr_in,left,D,,
28,VDD,pwr_in,left,D,,
50,VDD,pwr_in,left,D,,
75,VDD,pwr_in,left,D,,
100,VDD,pwr_in,left,D,,
*,,,left,D,,
22,VDDA,pwr_in,left,D,,
*,,,left,D,,
21,VREF+,pwr_in,left,D,,
*,,,right,D,,
10,VSS,pwr_in,right,D,,
27,VSS,pwr_in,right,D,,
74,VSS,pwr_in,right,D,,
99,VSS,pwr_in,right,D,,
*,,,right,D,,
20,VSSA,pwr_in,right,D,,
*,,,right,D,,
*,,,right,D,,
49,VCAP_1,pwr_out,right,D,,
73,VCAP_2,pwr_out,right,D,,
*,,,right,D,,
,,,,,,
STM32F429VETx_v2,U,Package_QFP:LQFP-100_14x14mm_P0.5mm,STM32F429VETx,https://www.st.com/resource/en/datasheet/stm32f429ng.pdf,"ARM Cortex-M4 MCU, 512KB flash, 192KB RAM, 180MHz, 1.8-3.6V, 82 GPIO, LQFP-100 14x14mm. Ref. Man : RM0090",
Pin,Name,Type,Side,Unit,Style,Hidden
23,PA0/WKUP/TIM2_CH1/TIM2_ETR/TIM5_CH1/TIM8_ETR/USART2_CTS/UART4_TX/ETH_MII_CRS/ADC123_IN0,bidir,left,A,,
24,PA1/TIM2_CH2/TIM5_CH2/USART2_RTS/UART4_RX/ETH_MII_RX_CLK/ETH_RMII_REF_CLK/ADC123_IN1,bidir,left,A,,
25,PA2/TIM2_CH3/TIM5_CH3/TIM9_CH1/USART2_TX/ETH_MDIO/ADC123_IN2,bidir,left,A,,
26,PA3/TIM2_CH4/TIM5_CH4/TIM9_CH2/USART2_RX/OTG_HS_ULPI_D0/ETH_MII_COL/LCD_B5/ADC123_IN3,bidir,left,A,,
29,PA4(3V)/SPI1_NSS/SPI3_NSS/I2S3_WS/USART2_CK/OTG_HS_SOF/DCMI_HSYNC/LCD_VSYNC/ADC12_IN4/DAC_OUT1,bidir,left,A,,
30,PA5(3V)/TIM2_CH1/TIM2_ETR/TIM8_CH1N/SPI1_SCK/OTG_HS_ULPI_CK/ADC12_IN5/DAC_OUT2,bidir,left,A,,
31,PA6/TIM1_BKIN/TIM3_CH1/TIM8_BKIN/SPI1_MISO/TIM13_CH1/DCMI_PIXCLK/LCD_G2/ADC12_IN6,bidir,left,A,,
32,PA7/TIM1_CH1N/TIM3_CH2/TIM8_CH1N/SPI1_MOSI/TIM14_CH1/ETH_MII_RX_DV/ETH_RMII_CRS_DV/ADC12_IN7,bidir,left,A,,
67,PA8/MCO1/TIM1_CH1/I2C3_SCL/USART1_CK/OTG_FS_SOF/LCD_R6,bidir,left,A,,
68,PA9/TIM1_CH2/I2C3_SMBA/USART1_TX/DCMI_D0/OTG_FS_VBUS,bidir,left,A,,
69,PA10/TIM1_CH3/USART1_RX/OTG_FS_ID/DCMI_D1,bidir,left,A,,
70,PA11/TIM1_CH4/USART1_CTS/CAN1_RX/LCD_R4/OTG_FS_DM,bidir,left,A,,
71,PA12/TIM1_ETR/USART1_RTS/CAN1_TX/LCD_R5/OTG_FS_DP,bidir,left,A,,
72,PA13/JTMS-SWDIO,bidir,left,A,,
76,PA14/JTCK-SWCLK,bidir,left,A,,
77,PA15/JTDI/TIM2_CH1/TIM2_ETR/SPI1_NSS/SPI3_NSS/I2S3_WS,bidir,left,A,,
*,,,left,A,,
*,,,left,A,,
35,PB0/TIM1_CH2N/TIM3_CH3/TIM8_CH2N/LCD_R3/OTG_HS_ULPI_D1/ETH_MII_RXD2/ADC12_IN8,bidir,left,A,,
36,PB1/TIM1_CH3N/TIM3_CH4/TIM8_CH3N/LCD_R6/OTG_HS_ULPI_D2/ETH_MII_RXD3/ADC12_IN9,bidir,left,A,,
37,PB2/BOOT1,bidir,left,A,,
89,PB3/JTDO/TRACESWO/TIM2_CH2/SPI1_SCK/SPI3_SCK/I2S3_CK,bidir,left,A,,
90,PB4/NJTRST/TIM3_CH1/SPI1_MISO/SPI3_MISO/I2S3ext_SD,bidir,left,A,,
91,PB5/TIM3_CH2/I2C1_SMBA/SPI1_MOSI/SPI3_MOSI/I2S3_SD/CAN2_RX/OTG_HS_ULPI_D7/ETH_PPS_OUT/FMC_SDCKE1/DCMI_D10,bidir,left,A,,
92,PB6/TIM4_CH1/I2C1_SCL/USART1_TX/CAN2_TX/FMC_SDNE1/DCMI_D5,bidir,left,A,,
93,PB7/TIM4_CH2/I2C1_SDA/USART1_RX/FMC_NL/DCMI_VSYNC,bidir,left,A,,
95,PB8/TIM4_CH3/TIM10_CH1/I2C1_SCL/CAN1_RX/ETH_MII_TXD3/SDIO_D4/DCMI_D6/LCD_B6,bidir,left,A,,
96,PB9/TIM4_CH4/TIM11_CH1/I2C1_SDA/SPI2_NSS/I2S2_WS/CAN1_TX/SDIO_D5/DCMI_D7/LCD_B7,bidir,left,A,,
47,PB10/TIM2_CH3/I2C2_SCL/SPI2_SCK/I2S2_CK/USART3_TX/OTG_HS_ULPI_D3/ETH_MII_RX_ER/LCD_G4,bidir,left,A,,
48,PB11/TIM2_CH4/I2C2_SDA/USART3_RX/OTG_HS_ULPI_D4/ETH_MII_TX_EN/ETH_RMII_TX_EN/LCD_G5,bidir,left,A,,
51,PB12/TIM1_BKIN/I2C2_SMBA/SPI2_NSS/I2S2_WS/USART3_CK/CAN2_RX/OTG_HS_ULPI_D5/ETH_MII_TXD0/ETH_RMII_TXD0/OTG_HS_ID,bidir,left,A,,
52,PB13/TIM1_CH1N/SPI2_SCK/I2S2_CK/USART3_CTS/CAN2_TX/OTG_HS_ULPI_D6/ETH_MII_TXD1/ETH_RMII_TXD1/OTG_HS_VBUS,bidir,left,A,,
53,PB14/TIM1_CH2N/TIM8_CH2N/SPI2_MISO/I2S2ext_SD/USART3_RTS/TIM12_CH1/OTG_HS_DM,bidir,left,A,,
54,PB15/RTC_REFIN/TIM1_CH3N/TIM8_CH3N/SPI2_MOSI/I2S2_SD/TIM12_CH2/OTG_HS_DP,bidir,left,A,,
*,,,left,A,,
15,ADC123_IN10/OTG_HS_ULPI_STP/FMC_SDNWE/PC0,bidir,right,A,,
16,ADC123_IN11/ETH_MDC/PC1,bidir,right,A,,
17,ADC123_IN12/SPI2_MISO/I2S2ext_SD/OTG_HS_ULPI_DIR/ETH_MII_TXD2/FMC_SDNE0/PC2,bidir,right,A,,
18,ADC123_IN13/SPI2_MOSI/I2S2_SD/OTG_HS_ULPI_NXT/ETH_MII_TX_CLK/FMC_SDCKE0/PC3,bidir,right,A,,
33,ADC12_IN14/ETH_MII_RXD0/ETH_RMII_RXD0/PC4,bidir,right,A,,
34,ADC12_IN15/ETH_MII_RXD1/ETH_RMII_RXD1/PC5,bidir,right,A,,
63,TIM3_CH1/TIM8_CH1/I2S2_MCK/USART6_TX/SDIO_D6/DCMI_D0/LCD_HSYNC/PC6,bidir,right,A,,
64,TIM3_CH2/TIM8_CH2/I2S3_MCK/USART6_RX/SDIO_D7/DCMI_D1/LCD_G6/PC7,bidir,right,A,,
65,TIM3_CH3/TIM8_CH3/USART6_CK/SDIO_D0/DCMI_D2/PC8,bidir,right,A,,
66,MCO2/TIM3_CH4/TIM8_CH4/I2C3_SDA/I2S_CKIN/SDIO_D1/DCMI_D3/PC9,bidir,right,A,,
78,SPI3_SCK/I2S3_CK/USART3_TX/UART4_TX/SDIO_D2/DCMI_D8/LCD_R2/PC10,bidir,right,A,,
79,I2S3ext_SD/SPI3_MISO/USART3_RX/UART4_RX/SDIO_D3/DCMI_D4/PC11,bidir,right,A,,
80,SPI3_MOSI/I2S3_SD/USART3_CK/UART5_TX/SDIO_CK/DCMI_D9/PC12,bidir,right,A,,
7,TAMP_1/PC13,bidir,right,A,,
*,,,right,A,,
8,OSC32_IN/PC14,bidir,right,A,,
9,OSC32_OUT/PC15,bidir,right,A,,
*,,,right,A,,
81,CAN1_RX/FMC_D2/PD0,bidir,right,A,,
82,CAN1_TX/FMC_D3/PD1,bidir,right,A,,
83,TIM3_ETR/UART5_RX/SDIO_CMD/DCMI_D11/PD2,bidir,right,A,,
84,SPI2_SCK/I2S2_CK/USART2_CTS/FMC_CLK/DCMI_D5/LCD_G7/PD3,bidir,right,A,,
85,USART2_RTS/FMC_NOE/PD4,bidir,right,A,,
86,USART2_TX/FMC_NWE/PD5,bidir,right,A,,
87,SPI3_MOSI/I2S3_SD/SAI1_SD_A/USART2_RX/FMC_NWAIT/DCMI_D10/LCD_B2/PD6,bidir,right,A,,
88,USART2_CK/FMC_NE1/FMC_NCE2/PD7,bidir,right,A,,
55,USART3_TX/FMC_D13/PD8,bidir,right,A,,
56,USART3_RX/FMC_D14/PD9,bidir,right,A,,
57,USART3_CK/FMC_D15/LCD_B3/PD10,bidir,right,A,,
58,USART3_CTS/FMC_A16/PD11,bidir,right,A,,
59,TIM4_CH1/USART3_RTS/FMC_A17/PD12,bidir,right,A,,
60,TIM4_CH2/FMC_A18/PD13,bidir,right,A,,
61,TIM4_CH3/FMC_D0/PD14,bidir,right,A,,
62,TIM4_CH4/FMC_D1/PD15,bidir,right,A,,
*,,,right,A,,
*,,,left,B,,
14,NRST,in,left,B,,
*,,,left,B,,
94,BOOT0,in,left,B,,
*,,,left,B,,
12,PH0/OSC_IN,in,left,B,,
13,PH1/OSC_OUT,in,left,B,,
*,,,left,B,,
97,TIM4_ETR/UART8_RX/FMC_NBL0/DCMI_D2/PE0,bidir,right,B,,
98,UART8_Tx/FMC_NBL1/DCMI_D3/PE1,bidir,right,B,,
1,TRACECLK/SPI4_SCK/SAI1_MCLK_A/ETH_MII_TXD3/FMC_A23/PE2,bidir,right,B,,
2,TRACED0/SAI1_SD_B/FMC_A19/PE3,bidir,right,B,,
3,TRACED1/SPI4_NSS/SAI1_FS_A/FMC_A20/DCMI_D4/LCD_B0/PE4,bidir,right,B,,
4,TRACED2/TIM9_CH1/SPI4_MISO/SAI1_SCK_A/FMC_A21/DCMI_D6/LCD_G0/PE5,bidir,right,B,,
5,TRACED3/TIM9_CH2/SPI4_MOSI/SAI1_SD_A/FMC_A22/DCMI_D7/LCD_G1/PE6,bidir,right,B,,
38,TIM1_ETR/UART7_Rx/FMC_D4/PE7,bidir,right,B,,
39,TIM1_CH1N/UART7_Tx/FMC_D5/PE8,bidir,right,B,,
40,TIM1_CH1/FMC_D6/PE9,bidir,right,B,,
41,TIM1_CH2N/FMC_D7/PE10,bidir,right,B,,
42,TIM1_CH2/SPI4_NSS/FMC_D8/LCD_G3/PE11,bidir,right,B,,
43,TIM1_CH3N/SPI4_SCK/FMC_D9/LCD_B4/PE12,bidir,right,B,,
44,TIM1_CH3/SPI4_MISO/FMC_D10/LCD_DE/PE13,bidir,right,B,,
45,TIM1_CH4/SPI4_MOSI/FMC_D11/LCD_CLK/PE14,bidir,right,B,,
46,TIM1_BKIN/FMC_D12/LCD_R7/PE15,bidir,right,B,,
*,,,left,C,,
6,VBAT,pwr_in,left,C,,
11,VDD,pwr_in,left,C,,
19,VDD,pwr_in,left,C,,
28,VDD,pwr_in,left,C,,
50,VDD,pwr_in,left,C,,
75,VDD,pwr_in,left,C,,
100,VDD,pwr_in,left,C,,
*,,,left,C,,
22,VDDA,pwr_in,left,C,,
*,,,left,C,,
21,VREF+,pwr_in,left,C,,
*,,,right,C,,
10,VSS,pwr_in,right,C,,
27,VSS,pwr_in,right,C,,
74,VSS,pwr_in,right,C,,
99,VSS,pwr_in,right,C,,
*,,,right,C,,
20,VSSA,pwr_in,right,C,,
*,,,right,C,,
*,,,right,C,,
49,VCAP_1,pwr_out,right,C,,
73,VCAP_2,pwr_out,right,C,,
*,,,right,C,,
